2 10 1001 10
310 500
310 500
310 500
310 500
310 500
310 500
310 500
310 500
310 500
310 500
1	-79	3	0	55	1	2	1	2
2	63	94	0	20	1	2	1	2
3	4	84	0	9	1	2	1	2
4	-9	-38	0	12	1	2	1	2
5	40	-51	0	35	1	2	1	2
6	30	0	0	75	1	2	1	2
7	-60	-93	0	46	1	2	1	2
8	-89	-90	0	7	1	2	1	2
9	-98	85	0	37	1	2	1	2
10	-57	-61	0	42	1	2	1	2
11	94	58	0	79	1	2	1	2
12	47	-38	0	65	1	2	1	2
13	76	98	0	81	1	2	1	2
14	63	-53	0	1	1	2	1	2
15	-51	96	0	70	1	2	1	2
16	14	36	0	15	1	2	1	2
17	-11	-78	0	18	1	2	1	2
18	-10	27	0	58	1	2	1	2
19	-27	-91	0	80	1	2	1	2
20	36	89	0	91	1	2	1	2
21	12	-92	0	40	1	2	1	2
22	4	48	0	25	1	2	1	2
23	-67	-70	0	1	1	2	1	2
24	-68	95	0	69	1	2	1	2
25	31	-98	0	91	1	2	1	2
26	-51	-25	0	64	1	2	1	2
27	-49	99	0	5	1	2	1	2
28	-52	-71	0	77	1	2	1	2
29	-72	-47	0	98	1	2	1	2
30	-72	35	0	13	1	2	1	2
31	-71	29	0	75	1	2	1	2
32	41	-80	0	67	1	2	1	2
33	54	62	0	55	1	2	1	2
34	-38	-42	0	65	1	2	1	2
35	32	2	0	64	1	2	1	2
36	-72	-14	0	1	1	2	1	2
37	42	94	0	92	1	2	1	2
38	-17	26	0	69	1	2	1	2
39	18	-4	0	37	1	2	1	2
40	79	61	0	48	1	2	1	2
41	-32	-37	0	0	1	2	1	2
42	-16	-48	0	68	1	2	1	2
43	-59	-11	0	23	1	2	1	2
44	10	14	0	33	1	2	1	2
45	73	-60	0	85	1	2	1	2
46	95	89	0	40	1	2	1	2
47	67	-40	0	32	1	2	1	2
48	87	-96	0	77	1	2	1	2
49	29	-79	0	3	1	2	1	2
50	-97	45	0	48	1	2	1	2
51	92	-20	0	72	1	2	1	2
52	32	96	0	17	1	2	1	2
53	-48	-37	0	17	1	2	1	2
54	-73	-63	0	81	1	2	1	2
55	38	-17	0	15	1	2	1	2
56	76	-27	0	82	1	2	1	2
57	-87	-14	0	41	1	2	1	2
58	13	-58	0	63	1	2	1	2
59	75	-57	0	11	1	2	1	2
60	39	-81	0	83	1	2	1	2
61	-22	-51	0	20	1	2	1	2
62	73	3	0	15	1	2	1	2
63	-34	69	0	63	1	2	1	2
64	-56	-13	0	92	1	2	1	2
65	-60	-31	0	57	1	2	1	2
66	9	62	0	18	1	2	1	2
67	49	-96	0	93	1	2	1	2
68	-99	48	0	14	1	2	1	2
69	65	28	0	12	1	2	1	2
70	89	-3	0	80	1	2	1	2
71	29	55	0	23	1	2	1	2
72	-54	83	0	72	1	2	1	2
73	-94	-74	0	60	1	2	1	2
74	10	-15	0	60	1	2	1	2
75	-99	-14	0	54	1	2	1	2
76	-38	65	0	10	1	2	1	2
77	-15	70	0	42	1	2	1	2
78	-36	-52	0	30	1	2	1	2
79	97	84	0	65	1	2	1	2
80	6	75	0	31	1	2	1	2
81	-72	-61	0	95	1	2	1	2
82	89	-63	0	13	1	2	1	2
83	-57	-28	0	38	1	2	1	2
84	-63	-84	0	52	1	2	1	2
85	0	25	0	38	1	2	1	2
86	-35	-28	0	64	1	2	1	2
87	-1	-36	0	52	1	2	1	2
88	-21	71	0	93	1	2	1	2
89	72	-6	0	7	1	2	1	2
90	45	-90	0	58	1	2	1	2
91	-79	30	0	0	1	2	1	2
92	-8	15	0	52	1	2	1	2
93	39	48	0	59	1	2	1	2
94	2	98	0	72	1	2	1	2
95	-100	-11	0	77	1	2	1	2
96	72	96	0	22	1	2	1	2
97	24	18	0	15	1	2	1	2
98	-57	56	0	54	1	2	1	2
99	25	-96	0	2	1	2	1	2
